ALLAN SCHINTU;ALLAN SCHINTU;Allan Schintu;Angelino Schintu ;その他;175cm;72kg;;
会 一太郎;あい いちたろう;Ai Ichirouta;會一太郎;三遊亭一太郎;1987年11月12日;26歳;東京都;さそり座
相上 和音;あいうえ わおん;Aiue Waon;1981年3月17日;33歳;埼玉県;156cm;A型;
相生 千恵子;あいおい ちえこ;Aioi Chieko;小松礼子;1934年12月28日;2013年11月13日;78歳;東京都;
愛川 欽也;あいかわ きんや;Aikawa Kinya;1934年6月25日;80歳;東京都;168cm;A型;
藍川 千尋;あいかわ ちひろ;Aikawa Chihiro;8月19日;東京都;164cm;B型;しし座;
相川 奈都姫;あいかわ なつき;Aikawa Natsuki;8月21日;京都府;しし座;;;
愛河 里花子;あいかわ りかこ;Aikawa Rikako;岩田菜穂美;川添 なおみ &rarr;;	;;
逢川 亮子;あいかわ りょうこ;Aikawa Ryouko;落合美穂、落合光子;1949年3月22日;65歳;おひつじ座;;
相坂 優歌;あいさか ゆうか;Aisaka Yuuka;1990年9月5日;24歳;千葉県;A型;おとめ座;
相沢 恵子;あいざわ けいこ;Aizawa Keiko;1963年11月22日;50歳;神奈川県;いて座;;
相沢 舞;あいざわ まい;Aizawa Mai;8月21日;東京都;145cm;しし座;;好きなもの
相沢 まさき;あいざわ まさき;Aizawa Masaki;相沢正輝;1965年1月19日;49歳;北海道;A型;
あいざわ ゆりか;あいざわ ゆりか;Aizawa Yurika;10月1日;埼玉県;てんびん座;;;
相田 さやか;あいだ さやか;Aida Sayaka;小林さやか;1975年3月9日;39歳;東京都;うお座;
相橋 愛子;あいはし あいこ;Ａihashi Aiko;1976年3月10日;38歳;東京都;AB型;うお座;趣味
相原 玲;あいはら れい;Aihara Ray;大森玲子;れーこ（れ&rarr;旧名;誕生日;年齢;身長
相葉 裕樹;あいば ひろき;Aiba Hiroki;相葉弘樹;1987年10月1日;27歳;千葉県;てんびん座;
相葉 ゆきこ;あいば ゆきこ;Aiba Yukiko;1月21日;東京都;AB型;みずがめ座;;
 愛美; あいみ;Aimi;寺川愛美;aimi,あいみん;寺川愛美;1991年12月25日;22歳;A型
相本 結香;あいもと ゆか;Aimoto Yuka;3月29日;東京都;おひつじ座;;;
葵 海人;あおい かいと;Aoi Syuhei;久山修平;3月4日;千葉県;うお座;;
蒼井 翔太;あおい しょうた;Aoi Syouta;柳川昇（やながわしょう）;SHOWTA.;1987年8月11日;27歳;B型;
青木 和代;あおき かずよ;Aoki Kazuyo;1947年8月27日;67歳;東京都;153cm;おとめ座;
あおき さやか;あおき さやか;Aoki Sayaka;青木静香;1972年10月19日;42歳;秋田県;AB型;
青木 強;あおき つよし;Aoki Tsuyoshi;1977年5月30日;37歳;東京都;ふたご座;;
青木 菜な;あおき なな;Aoki Nana;菅原 菜奈;青木菜奈;1960年2月17日;54歳;みずがめ座;
青木 紀子;あおき のりこ;Aoki　Noriko;1985年2月27日;29歳;神奈川県;うお座;;
青木 誠;あおき まこと;Aoki Makoto;1975年10月7日;39歳;東京都;167cm;A型;
青木 まゆこ;あおき まゆこ;Aoki Mayuko;青木麻由子;1975年12月17日;38歳;高知県;164cm;いて座
青木 瑠璃子;あおき るりこ;Aoki Ruriko;3月24日;埼玉県;O型;おひつじ座;;
青野 武;あおの たけし;Aono Takeshi;1936年6月19日;2012年4月9日;75歳;北海道;169cm;ふたご座
青羽 剛;あおば ごう;Aoba Go;1969年10月19日;45歳;東京都;178cm;B型;
青羽 美代子;あおば みよこ;Aoba Miyoko;工藤美代子;1961年9月2日;53歳;埼玉県;おとめ座;
青葉 りんご;あおば りんご;Aoba Ringo;りんごりん;4月5日;鹿児島県;A型;おひつじ座;趣味
青森 伸;あおもり しん;Aomori Shin;1941年10月20日;73歳;青森県;180cm;てんびん座;
青柳 隆志;あおやぎ たかし;Aoyagi Takashi;1961年8月17日;53歳;千葉県;しし座;;
青山 耕平;あおやま こうへい;Aoyama Kohei;8月28日;京都府;おとめ座;;趣味;
青山 桐子;あおやま とうこ;Aoyama Toko;1976年11月3日;37歳;東京都;164cm;さそり座;
青山 美帆;あおやま みほ;Aoyama Miho;2月14日;大阪府;みずがめ座;;特技;
青山 穣;あおやま ゆたか;Aoyama Yutaka;1965年1月30日;49歳;愛知県;174cm;みずがめ座;
赤池 裕美子;あかいけ ゆみこ;Akaike Yumiko;11月2日;東京都;さそり座;;趣味;
赤石 広樹;あかいし こうき;Akaishi Kouki;1979年11月28日;34歳;岩手県;いて座;;
赤井田 良彦;あかいだ よしひこ;Akaida Yoshihiko;4月8日;大阪府;A型;おひつじ座;;
あかい とまと;あかい とまと;Akai Tomato;3月16日;東京都;152cm;O型;うお座;	
あかがわ まき;あかがわ まき;Akagawa Maki;1月2日;島根県;B型;やぎ座;;
赤城 進;あかぎ すすむ;Akagi Susumu;遠藤真;1972年11月28日;41歳;東京都;175cm;
赤木 美絵;あかぎ みえ;Akagi Mie;5月2日;150cm;おうし座;;;
赤﨑 千夏;あかさき ちなつ;Akasaki Chinatsu;1987年8月10日;27歳;鹿児島県;しし座;;
赤澤 涼太;あかざわ りょうた;Akazawa Ryota;1983年4月22日;31歳;新潟県;172cm;B型;
明石 香織;あかし かおり;Akashi Kaori;1982年2月12日;32歳;青森県;みずがめ座;;好きなもの
赤土 眞弓;あかど まゆみ;Akado Mayumi;1965年6月28日;49歳;福島県;O型;かに座;
紅波 柚香;あかなみ ゆか;Akanami Yuka;岡田優香;1983年1月10日;31歳;東京都;B型;
茜屋 日海夏;あかねや ひみか;Akaneya Himika;1994年7月16日;20歳;秋田県;160cm;かに座;
赤羽根 健治;あかばね けんじ;Akabane Kenji;1984年10月31日;29歳;千葉県;さそり座;;
明平 鉄平;あかひら てっぺい;Akahira Teppei;1976年12月29日;37歳;千葉県;172cm;O型;
赤星 昇一郎;あかぼし しょういちろう;Akaboshi Shoichiro;1955年11月25日;58歳;熊本県;171cm;A型;
阿川 りょう;あがわ りょう;Agawa ryo;臺奈津樹;1983年1月5日;31歳;東京都;AB型;
安芸 けい子;あき けいこ;Aki Keiko;11月30日;広島県;いて座;;;
 AKIKO; あきこ;Akiko;1977年12月9日;36歳;埼玉県;いて座;;
秋田 まどか;あきた まどか;Akita Madoka;1979年12月29日;34歳;東京都;165cm;B型;
秋元 千賀子;あきもと ちかこ;Akimoto Chikako;12月17日;北海道;いて座;;;
秋元 羊介;あきもと ようすけ;Akimoto Yosuke;田鹿幸雄;1944年2月5日;70歳;東京都;173cm;
秋谷 智子;あきや ともこ;Akiya Tomoko;1976年5月14日;38歳;千葉県;AB型;おうし座;趣味
あきやま かおる;あきやま かおる;Akiyama Kaoru;3月5日;埼玉県;A型;うお座;;
秋山 久美;あきやま くみ;Akiyama Kumi;1976年2月10日;38歳;茨城県;157cm;A型;
秋山 じゅん;あきやま じゅん;Akiyama Jyun;5月31日;千葉県;B型;ふたご座;;
秋山 嘉子;あきやま よしこ;Akiyama Yoshiko;1965年11月15日;48歳;東京都;O型;さそり座;
あきやま るな;あきやま るな;Akiyama Runa;秋山照子;あきやまひかり &rarr;;;	;
秋吉 徹;あきよし とおる;Akiyoshi Tooru;11月8日;熊本県;さそり座;;;
阿久津 加菜;あくつ かな;Akutsu Kana;1987年10月30日;26歳;栃木県;さそり座;;
安玖深 音;あぐみ おと;Agumi Oto;音ちん;後藤麻衣;8月22日;北海道;148cm;しし座
明坂 聡美;あけさか さとみ;Akesaka Satomi;1988年1月2日;26歳;埼玉県;152cm;B型;
朝井 彩加;あさい あやか;Asai Ayaka;1992年5月11日;22歳;静岡県;160cm;おうし座;
浅井 清己;あさい きよみ;Asai Kiyomi;1974年4月12日;40歳;東京都;A型;おひつじ座;趣味
浅井 慶一郎;あさい けいいちろう;Asai Keiichiro;7月29日;東京都;AB型;しし座;;
浅井 晴美;あさい はるみ;Asai Harumi;1979年2月15日;35歳;愛知県;みずがめ座;;
浅井 淑子;あさい よしこ;Asai Yosiko;1941年3月21日;73歳;東京都;おひつじ座;;
朝香 雅恵;あさか まさえ;Asaka Masae;前田雅恵;1月24日;沖縄県;みずがめ座;;
浅川 悠;あさかわ ゆう;Asakawa Yuu;1975年3月20日;39歳;東京都;A型;うお座;趣味
浅木 舞;あさき まい;Asaki Mai;1974年3月8日;40歳;東京都;164cm;B型;
朝樹 りさ;あさき りさ;Asaki Risa;7月12日;山口県;O型;かに座;;
浅倉 杏美;あさくら あずみ;Asakura Azumi;山本杏美;1987年2月15日;27歳;神奈川県;156cm;みずがめ座
浅倉 歩;あさくら あゆむ;Asakura Ayumu;1983年10月18日;31歳;青森県;B型;てんびん座;趣味
朝倉 栄介;あさくら えいすけ;Asakura Eisuke;7月3日;東京都;かに座;;;
朝倉 崇;あさくら そう;Asakura Sou;7月18日;東京都;A型;かに座;;
麻倉 もも;あさくら もも;Asakura Momo;もちょ;1994年6月25日;20歳;福岡県;156cm;
 アサコ; あさこ;Asako;12月5日;埼玉県;いて座;;;
浅科 准平;あさしな じゅんぺい;Asashina Junpei;5月13日;千葉県;A型;おうし座;;
朝田 実依;あさだ みえ;Asada Mie;7月6日;兵庫県;かに座;;;
浅田 葉子;あさだ ようこ;Asada Youko;1969年5月23日;45歳;兵庫県;150cm;O型;
朝戸 鉄也;あさど てつや;Asado Tetsuya;朝戸正明;由美川淳一、南美野勇;1935年7月25日;79歳;神奈川県;A型
浅沼 晋太郎;あさぬま しんたろう;Asanuma Shintaro;1976年1月5日;38歳;岩手県;173cm;O型;
浅野 典子;あさの のりこ;Asano Noriko;1963年10月7日;51歳;島根県;てんびん座;;
浅野 ひかり;あさの ひかり;Asano Hikari;;;;;;
浅野 真澄;あさの ますみ;Asano Masumi;ますみん;1977年8月25日;37歳;秋田県;O型;
浅野 まゆみ;あさの まゆみ;Asano Mayumi;1969年11月13日;44歳;東京都;162cm;A型;
浅野 るり;あさの るり;Asano Ruri;1974年2月18日;40歳;岐阜県;みずがめ座;;
朝比奈 拓見;あさひな たくみ;Asahina Takumi;12月3日;大阪府;168cm;54kg;A型;
麻見 順子;あさみ じゅんこ;Asami Jyunko;町田順子;1967年9月24日;47歳;神奈川県;AB型;
浅利 遼太;あさり りょうた;Asari Ryouta;1985年6月4日;29歳;大阪府;ふたご座;;
阿座上 洋平;あざがみ ようへい;Azagami Youhei;細野洋平;1991年8月7日;23歳;群馬県;しし座;
 Ashir; あしゃ;Asya;白土麻子;11月23日;151cm;いて座;;
亜城 めぐ;あしろ めぐ;Ashiro Megu;小林恵美;1978年8月10日;36歳;埼玉県;A型;
飛鳥井 豊;あすかい ゆたか;Asukai Yutaka;12月27日;宮崎県;A型;やぎ座;;
阿澄 佳奈;あすみ かな;Asumi Kana;原田佳奈;あすみん、もこたん;1983年8月12日;31歳;福岡県;A型
あずさ 欣平;あずさ きんぺい;Azusa Kimpei;梓欣造;1931年5月1日;1997年5月24日;66歳;福島県;
東 和良;あずま かずよし;Azuma Kazuyoshi;2月3日;岩手県;みずがめ座;;;
東 美江;あずま みえ;Azuma Mie;矢崎ミツエ;1941年1月20日;73歳;東京都;みずがめ座;
東 龍一;あずま りゅういち;Azuma Ryuichi;8月21日;愛知県;しし座;;特技;
安澄 純;あずみ じゅん;Azumi Jyun;10月25日;長野県;A型;さそり座;;
麻生 かほ里;あそう かほり;Asoh Kaori;1967年6月26日;47歳;東京都;160cm;B型;
麻生 智久;あそう ともひさ;Aso Tomohisa;松丸卓也;5月13日;おうし座;;趣味;
麻生 みつ子;あそう みつこ;Asou Mituko;1930年5月27日;84歳;東京都;ふたご座;;
麻生 美代子;あそう みよこ;Asoh Miyoko;左近允[サコンジョウ]美代;1926年4月7日;88歳;東京都;A型;
あたか 誠;あたか まこと;Ataka Makoto;安宅誠;1957年6月26日;57歳;愛知県;176cm;
新 千恵子;あたらし ちえこ;Atarashi Chieko;1968年1月31日;46歳;大阪府;みずがめ座;;
足立 朱美;あだち あけみ;Adachi Akemi;1973年3月29日;41歳;大阪府;おひつじ座;;
安達 忍;あだち しのぶ;Adachi Shinobu;1958年4月7日;56歳;東京都;AB型;おひつじ座;
安達 貴英;あだち たかひで;Adachi Takahide;3月13日;東京都;177cm;うお座;;
足立 友;あだち とも;Adachi Tomo;1980年4月27日;34歳;大分県;おうし座;;
安達 まり;あだち まり;Adachi Mari;1971年8月10日;43歳;京都府;A型;しし座;
我妻 正崇;あづま まさたか;Aduma Masataka;ま〜くん;1月25日;東京都;みずがめ座;;
あびる 優;あびる ゆう;Abiru Yu;阿比留優;1986年7月4日;28歳;東京都;153cm;かに座
阿部 彬名;あべ あきな;Abe Akina;阿部幸恵;1980年4月15日;34歳;東京都;163cm;
阿部 敦;あべ あつし;Abe Atsushi;マジック、凪原薫、神凪儚;1981年3月25日;33歳;栃木県;168cm;おひつじ座
阿部 薫;あべ かおる;Abe Kaoru;1980年3月27日;34歳;秋田県;181cm;O型;
阿部 加奈江;あべ かなえ;Abe Kanae;1980年4月15日;34歳;岩手県;164cm;O型;
阿部 茂雄;あべ しげお;Abe Shigeo;1987年7月14日;27歳;165cm;かに座;;
安部 慎二郎;あべ しんじろう;Abe shinjiro;慎ちゃん;3月29日;兵庫県;180cm;おひつじ座;趣味
阿部 大樹;あべ だいき;Abe Daiki;1987年11月16日;26歳;東京都;181cm;A型;
阿部 道子;あべ みちこ;Abe Michiko;9月27日;北海道;てんびん座;;詳細;
